"ordinal","id","companyName","topic","topicCategory","region","grade","reason","detailUrl"
"1","ruichuangweina","睿创微纳","如果你加入睿创微纳做一款低空探测雷达，如何利用 AI 提供优化目前雷达多目标智能探测与识别的方案？","AI + 研发创新","东部赛区（上海）","C","低空雷达多目标检测、跟踪与识别依赖信号处理和算法工程，属于明确排除的强专业技术命题。","https://activity.feishu.cn/future-talent?detail=ruichuangweina"
"2","sailisijituan","赛力斯集团","如果你加入赛力斯超级工厂团队，你如何打造一名会主动管控设备质量风险的 AI数字员工？","AI + 生产制造","西部赛区（成都）","B","Autonomous Agent、Graph RAG 与飞书执行闭环高度贴合，但工厂设备质量本体、异常识别和工艺知识门槛较高。","https://activity.feishu.cn/future-talent?detail=sailisijituan"
"3","pengfeijituan","鹏飞集团","面向能源行业校招，如何用 AI 打造更懂学生的雇主品牌传播？","AI + 综合领域","北部赛区（北京）","C","核心是能源行业校招品牌内容和精准传播，不是企业组织运行或业务流程重塑。","https://activity.feishu.cn/future-talent?detail=pengfeijituan"
"4","shiyuangufen","视源股份","希沃智教π：打造一款Al智能作业批改系统，可实现多学科作业的自动批改、个性化评语、知识点薄弱分析等，真正做到""每个学生都被认真对待""。","AI + 客户体验","南部赛区（广州）","C","多学科手写识别、过程判分和知识建模依赖教育测评与算法能力，专业门槛高。","https://activity.feishu.cn/future-talent?detail=shiyuangufen"
"5","yerenxiansheng","野人先生","如果你加入野人先生负责设备维修团队，如何以AI 数字化为核心，打通门店、维修部、设备供应商三方数据链路，实现报修信息实时同步，缩短故障处置周期","AI + 营销推广","北部赛区（北京）","A","门店、维修部、供应商三方数据链、设备档案和工单闭环明确，适合用飞书与 Agent 重塑协作流程。","https://activity.feishu.cn/future-talent?detail=yerenxiansheng"
"6","yuoushuzhi","渝欧数智","如果给你一家电商店铺、一条全球供应链和一套AI工具，你会怎么做到""一人经营，好物到家""？","AI + 综合领域","西部赛区（成都）","A","覆盖选品采购、通关物流、仓储、营销、订单和客服全链，天然可拆为多个 Agent 节点重构经营。","https://activity.feishu.cn/future-talent?detail=yuoushuzhi"
"7","tailannisi","泰兰尼斯","如果你加入泰兰尼斯门店销售管理运营团队，你会如何借助 AI 帮助泰兰尼斯培养金牌销售？","AI + 营销推广","东部赛区（上海）","A","销售目标、导购协同、会员运营、经营分析和经验复制形成清晰的门店经营 Agent 体系。","https://activity.feishu.cn/future-talent?detail=tailannisi"
"8","jinshida","金仕达","如果你加入金仕达 AI 产品创新团队，你会如何打造下一代智能化的金融投研与财富助手？","AI + 综合领域","东部赛区（上海）","C","金融投研、财富管理、适当性和合规留痕具有明显金融专业与责任门槛。","https://activity.feishu.cn/future-talent?detail=jinshida"
"9","meimaikeji","美迈科技","如果让你用 AI能力帮公司找到下一个爆品，你会怎么做？","AI + 综合领域","南部赛区（广州）","B","研销数据、趋势和反馈可由 Agent 协作，但核心仍是鞋履爆品孵化，管理改造范围较窄。","https://activity.feishu.cn/future-talent?detail=meimaikeji"
"10","dongmingshihua","东明石化","如果你加入东明石化的营销团队，你会如何为加油站客户提供千人千面的消费行为预测与精准营销策略。","AI + 营销推广","北部赛区（北京）","B","画像、消费预测、权益匹配和营销复盘闭环清楚，但属于单一精准营销模块。","https://activity.feishu.cn/future-talent?detail=dongmingshihua"
"11","pingzixingqiu","瓶子星球","AI赋能品牌新叙事：当下时代，梅见何以成为独一无二的梅见？","AI + 营销推广","西部赛区（成都）","C","官网明确重品牌叙事与品牌思考，不以 AI 系统和企业流程改造为核心。","https://activity.feishu.cn/future-talent?detail=pingzixingqiu"
"12","shuyishaoxiancao","书亦烧仙草","如果你加入书亦团队，你会如何借助AI深入消费者洞察并且建立爆品塑造全流程，预测并打造下一杯现象级爆款茶饮？","AI + 综合领域","西部赛区（成都）","B","产品、研发、设计和市场协作可 Agent 化，但核心仍是爆品预测与配方创新。","https://activity.feishu.cn/future-talent?detail=shuyishaoxiancao"
"13","xiangongzhineng","仙工智能","如果你加入仙工智能，你会如何基于 AI 模型研发“工业场景分拣配送一体化人形机器人”？","AI + 研发创新","东部赛区（上海）","C","VLA、AgentOS 和人形机器人属于明确排除的具身智能与工业控制命题。","https://activity.feishu.cn/future-talent?detail=xiangongzhineng"
"14","shiyipinpai","时宜品牌","AI驱动的短视频内容工厂:面向除甲醛品类的AIGC脚本与视频内容生成","AI + 营销推广","东部赛区（上海）","C","交付中心是 AIGC 脚本和视频内容生产流水线，不是企业运行系统重塑。","https://activity.feishu.cn/future-talent?detail=shiyipinpai"
"15","qianhaiwangluo","钱海网络","如果你是 OP 商户成功团队，你会如何用 AI 帮跨境商户少踩坑？","AI + 客户体验","南部赛区（广州）","A","业务、技术、财务、客服与 PSP 协同，且明确 AtoA、MCP 对 MCP 和工单路由，架构高度匹配。","https://activity.feishu.cn/future-talent?detail=qianhaiwangluo"
"16","shijiyangguangzhiye","世纪阳光纸业","《面向造纸行业的原材料采购智能决策系统》 如果请你来解决造纸行业原材料采购决策问题，你会如何借助AI让采购管理决策更科学高效。","AI + 产业协同","北部赛区（北京）","A","供应商数据、采购管理和决策建议是典型 ERP 采购模块，官网还明确不依赖造纸工艺知识。","https://activity.feishu.cn/future-talent?detail=shijiyangguangzhiye"
"17","songyandongli","松延动力","假如你是松延动力的数据采集工程师，你会如何借助AI提高人形机器人数据采集速率与质量？","AI + 产业协同","北部赛区（北京）","C","核心是人形机器人多模态数据采集与质量评估，仍属于具身智能产业链。","https://activity.feishu.cn/future-talent?detail=songyandongli"
"18","mingluozhuangbei","明珞股份","AI + 物料全过程跟踪：如何让跨厂区、跨关务、跨海运的物料进度实时可见？","AI + 生产制造","南部赛区（广州）","A","采购、装箱、报关、船运和签收的端到端物料流、预警与责任留痕，是强 ERP 重塑场景。","https://activity.feishu.cn/future-talent?detail=mingluozhuangbei"
"19","huatujiaoyu","华图教育  ","如果请你来华图做一名职业规划师，你如何运用AI帮助数千万大学生探索不同成长轨迹，实现高质量就业","AI + 综合领域","北部赛区（北京）","B","多阶段成长规划和任务引擎可 Agent 化，但本质是面向学生的职业服务产品。","https://activity.feishu.cn/future-talent?detail=huatujiaoyu"
"20","tianedaojia","天鹅到家","如果你来设计天鹅到家的「AI 家政匹配中枢」，你会如何借助 AI 让每一个家庭找到最合适的服务者？","AI + 客户体验","北部赛区（北京）","A","需求画像、技能匹配、面试和评价涉及数十环节，适合构建服务运营中枢与反馈知识闭环。","https://activity.feishu.cn/future-talent?detail=tianedaojia"
"21","guokakeji","果卡科技","如果你是标果工厂的 AI 供应链官，如何用 AI 让每颗水果「鲜到店、不烂仓」？","AI + 产业协同","西部赛区（成都）","B","供应链方向贴合，但需求预测、多仓调度和损耗归因偏预测算法与运筹优化。","https://activity.feishu.cn/future-talent?detail=guokakeji"
"22","haichenchuneng","海辰储能","请你化身海辰储能的电芯与AI的双料专家，打造「AI驱动的电芯寿命预测引擎」，基于有限数据实现高精度预测，全面赋能海辰产品研发与市场运营。  ","AI + 研发创新","南部赛区（广州）","C","电芯 SOH 与寿命预测依赖电化学知识、有限数据建模和时序算法。","https://activity.feishu.cn/future-talent?detail=haichenchuneng"
"23","tebuzhongguo","特步中国","如果你加入特步数字化团队，你如何打造“门店鞋服智能搭配、智能导购推介、终端运营工作效率监控“的 AI 数字员工？","AI + 营销推广","东部赛区（上海）","A","智能搭配、导购助手和终端运营数字员工可打通顾客、导购与总部的经营闭环。","https://activity.feishu.cn/future-talent?detail=tebuzhongguo"
"24","bamachaye","八马茶业","中国茶是千年非遗传承工艺，但大部分人面对一杯茶往往只能说出""好喝""或""不好喝""——如何用 AI工具让中国茶 ""说不清"" 成为 ""说得清、喝得懂、传得开""？","AI + 营销推广","南部赛区（广州）","C","重点是茶风味、文化表达与营销，部分方向还需要成分和茶工艺专业知识。","https://activity.feishu.cn/future-talent?detail=bamachaye"
"25","jiuzhoutouzijituan","九洲集团","如果你来负责九洲内部人才选拔，你会如何用AI挖掘“隐形人才”，实现人岗智能匹配？","AI + 综合领域","西部赛区（成都）","A","多系统人才数据、动态画像、岗位解析和主动匹配构成标准 HR 管理流程重塑。","https://activity.feishu.cn/future-talent?detail=jiuzhoutouzijituan"
"26","qunaer","去哪儿"," 继淄博、天水、哈尔滨之后——你会如何用 AI 抢在热搜之前，预测出下一座爆火的小城？","AI + 研发创新","北部赛区（北京）","B","趋势预测可联动供给与营销响应，但核心仍是外部热点预测而非企业协同系统。","https://activity.feishu.cn/future-talent?detail=qunaer"
"27","yuanqisenlin","元气森林","卓越的你+元气森林爆款方法轮+AI，从0到1，打造一款击中Z世代的新饮品","AI + 研发创新","北部赛区（北京）","B","趋势、产品定义、营销和验证可编排为全链路，但核心仍偏消费品新品创新。","https://activity.feishu.cn/future-talent?detail=yuanqisenlin"
"28","milian","米连","如果你加入米连产品团队，会如何借助并结合AI，做出有全球影响力的AI+社交/游戏产品？ ","AI + 研发创新","北部赛区（北京）","C","要求设计社交或游戏消费者产品 MVP，不对应企业内部管理与业务流程。","https://activity.feishu.cn/future-talent?detail=milian"
"29","lioujituan","利欧集团","如果你加入利欧的智能运维团队，你会如何借助 AI 构建一套水泵设备的「智慧预测与健康管理」系统，让每一台泵都能""说话""？","AI + 生产制造","东部赛区（上海）","C","水泵传感器、预测性维护和健康评估依赖工业设备数据与专业诊断。","https://activity.feishu.cn/future-talent?detail=lioujituan"
"30","dongfangyuhong","东方雨虹","如果你加入东方雨虹零售团队，如何借助飞书AI打造零售门店智慧运营助手？可围绕门店巡检、AI 导购、门店高效运营、私域客户维护方向落地","AI + 营销推广","北部赛区（北京）","A","巡检、导购、会员、经营分析、分单和履约预警共同构成渠道智慧运营系统。","https://activity.feishu.cn/future-talent?detail=dongfangyuhong"
"31","shenzhoushuma","神州数码","如果你加入神州数码的数字化转型团队，你会如何借助AI在限定时间内搭建出让客户拍案叫绝的解决方案?","AI + 客户体验","北部赛区（北京）","A","AI for Process 与客户痛点到方案、Demo 迭代直接对应 FDE 工作，但属于元层解决方案生成。","https://activity.feishu.cn/future-talent?detail=shenzhoushuma"
"32","hemujiayiliao","和睦家医疗","假如你来设计一套「医生 AI Copilot」，你会如何打造贯穿医生诊前诊后的连续照护闭环？","AI + 研发创新","北部赛区（北京）","C","连续照护、医学异常判断和医生决策属于高风险医疗专业场景。","https://activity.feishu.cn/future-talent?detail=hemujiayiliao"
"33","zhongkechuangda","中科创达","如果你加入晓悟智能具身智能团队，你会如何借助 AI，让一台人形机器人走出实验室 demo、走进真实工厂量产""干活""？","AI + 研发创新","北部赛区（北京）","C","人形机器人量产落地与工业现场协同仍属于用户明确排除的具身智能命题。","https://activity.feishu.cn/future-talent?detail=zhongkechuangda"
"34","yingshichuangxin","影石创新","如果你加入影石的全球达人营销团队，你会如何借助AI，从海量运动户外创作者中找到下一个能引爆单品的人?","AI + 营销推广","南部赛区（广州）","B","达人检索、内容生成和归因看板形成营销闭环，但不属于公司运行系统重塑。","https://activity.feishu.cn/future-talent?detail=yingshichuangxin"
"35","shangqijituan","上汽集团","如果你加入上汽乘用车的产品定义团队，你会如何借助 AI 构建一套""懂用户""的智能洞察引擎，让每一款新车从立项起就精准命中目标人群？","AI + 生产制造","东部赛区（上海）","B","多源用户洞察和产品定义知识沉淀可 Agent 化，但行动与组织协作链较弱。","https://activity.feishu.cn/future-talent?detail=shangqijituan"
"36","zhengdatianqing","正大天晴","如果你是正大天晴研发新人，你会如何借助 AI 快速读懂一个肿瘤靶点？  ","AI + 研发创新","东部赛区（上海）","C","肿瘤靶点、生物学、临床试验和药物资料需要明显医药专业知识。","https://activity.feishu.cn/future-talent?detail=zhengdatianqing"
"37","huaxing","TCL华星","车载显示头碰安全的AI仿真预测模型研究","AI + 生产制造","南部赛区（广州）","C","车载头碰 CAE 仿真与预测涉及结构、材料、动力学和工程建模。","https://activity.feishu.cn/future-talent?detail=huaxing"
"38","gunuo","顾诺","如果你是顾诺家清的内容负责人，你会搭建一套什么样的 AI 内容生产流水线，让一个人顶一个团队，持续产出抖音爆款短视频？","AI + 营销推广","南部赛区（广州）","C","目标是家清带货短视频规模化内容生产，不是企业流程和协作系统。","https://activity.feishu.cn/future-talent?detail=gunuo"
"39","chaojubian","超聚变","实现一个可运行的招投标信息聚合工具，呈现形式为可运行系统（API / CLI / Web UI），支持： 1. 用户输入自然语言，触发招投标网站信息的抓取，抓取完成后汇总招投标信息成word文件。 2. 用户意图中涉及发送的时间和频率，需定时触发；否则，立即触发。","AI + 产业协同","北部赛区（北京）","B","抓取、清洗、去重、定时和 Word 生成很具体，但只是窄信息聚合工具且有爬虫实现风险。","https://activity.feishu.cn/future-talent?detail=chaojubian"
"40","dongfengyipai","东风奕派","假如你是东风奕派的用户运营经理，如何用 AI 捕捉不同车主的“心动时刻”，打造让他们刷到停不下来的品牌视频内容？","AI + 营销推广","西部赛区（成都）","C","核心是用户情绪分析和品牌视频内容引擎，偏营销内容生产。","https://activity.feishu.cn/future-talent?detail=dongfengyipai"
"41","yangcongxueyuan","洋葱学园","如果你是洋葱学园的 AI 负责人，你会如何借助 AI 打通新业务从立项到落地的跨部门协同？","AI + 综合领域","北部赛区（北京）","A","教研、产品、技术、运营、销售和服务从立项到落地的跨部门协同引擎高度匹配。","https://activity.feishu.cn/future-talent?detail=yangcongxueyuan"
"42","shanhaixingchen","山海星辰","在如果给你一个爆款短剧IP、一套AI全链路工具和100万预算，你会怎么做到""一人剧组，爆款出海""？","AI + 综合领域","南部赛区（广州）","C","AI 短剧从创意到投放的内容生产工作流不属于企业管理系统。","https://activity.feishu.cn/future-talent?detail=shanhaixingchen"
"43","fudabandaoti","伏达半导体","如果 AI 成为你的""项目副驾驶""，你将如何重新设计芯片公司芯片项目经理的工作流？","AI + 研发创新","东部赛区（上海）","B","PM 多 Agent、风险、资源与协同形态贴合，但芯片项目管理具有明显行业知识门槛。","https://activity.feishu.cn/future-talent?detail=fudabandaoti"
"44","gaonenghuanjing","高能环境","「焚烧炉的绿电哨兵」——AI设备故障预警系统 预期成果：设备健康度监测平台，支持实时预警、趋势预测、运维建议生成。","AI + 生产制造","北部赛区（北京）","C","焚烧设备时序故障预警和智能运维排程依赖工业设备与发电场景知识。","https://activity.feishu.cn/future-talent?detail=gaonenghuanjing"
"45","haixinjituan","海信集团","如果你参与海信智能家居产品的运营优化，如何借助 AI 打通从用户问题发现到服务闭环的全链路，让用户感受到“有温度”的产品？","AI + 客户体验","北部赛区（北京）","A","客服、工程师、配件和 VOC 跨系统服务闭环清楚，可用 Agent 路由与协同调度重塑。","https://activity.feishu.cn/future-talent?detail=haixinjituan"
"46","changhongjiahua","长虹佳华","如何用 AI 帮助长虹佳华打造 ICT 分销经营健康度分析与风险预警智能体","AI + 研发创新","北部赛区（北京）","A","销售、库存和回款多系统治理及渠道风险预警，是明确的经营数据 Agent 场景。","https://activity.feishu.cn/future-talent?detail=changhongjiahua"
"47","chabaidao","茶百道","如果你加入茶百道的新品共创团队，你会如何借助AI打造“下一个小料/品类爆款”？","AI + 营销推广","西部赛区（成都）","B","消费者需求、研发和营销共创可形成闭环，但核心目标仍是爆品命中。","https://activity.feishu.cn/future-talent?detail=chabaidao"
"48","xiaopengjituan","小鹏集团","【物理AI·脑洞大开】别卷代码了，请为小鹏的AI汽车/机器人/飞行汽车设计一项具体的“物理外挂”，用AI解决“物理世界的麻烦”！","AI + 研发创新","南部赛区（广州）","C","物理 AI、汽车、机器人和飞行汽车属于用户明确排除的工程方向。","https://activity.feishu.cn/future-talent?detail=xiaopengjituan"
"49","huaxishengwu","华熙生物","如果您加入华熙生物皮肤科学创新转化产研团队，您如何借助AI做出下一个爆款？","AI + 研发创新","北部赛区（北京）","C","皮肤科学、配方数据和科研转化依赖化妆品与生物专业知识。","https://activity.feishu.cn/future-talent?detail=huaxishengwu"
"50","hexinkeji","和新科技","面对多平台、高频上新的内容营销需求，如何借助 AI 构建一套高效的跨境电商内容运营体系？","AI + 营销推广","南部赛区（广州）","B","跨平台内容、本地化与效果追踪可以 Agent 化，但仍是营销内容运营体系。","https://activity.feishu.cn/future-talent?detail=hexinkeji"
"51","geergufen","歌尔股份","如果你加入歌尔数字化团队，如何综合运营数据分析工具和飞书AI能力，为不同岗位角色生成实时专属数据看板并支撑完成决策闭环？","AI + 综合领域","北部赛区（北京）","A","多系统数据质量、专属问数看板和预警、任务、复盘形成飞书原生决策闭环。","https://activity.feishu.cn/future-talent?detail=geergufen"
"52","youjiachuangxin","佑驾创新","如果你加入佑驾创新无人车研发团队，你会如何用AI打造一套“异常行为诊断工具箱”？","AI + 研发创新","南部赛区（广州）","C","无人车异常行为诊断和工程线索分析依赖自动驾驶数据与专业判断。","https://activity.feishu.cn/future-talent?detail=youjiachuangxin"
"53","sanyuanshipin","三元食品","如何借助 AI 打造一套「智能产品策略引擎」，系统性捕获行业、技术、消费者、渠道、竞品等动态，输出从产品孵化到推广的全链路开发策略，打造可持续增长的产品，赢得消费者及市场的喜爱。","AI + 营销推广","北部赛区（北京）","B","洞察、产品结构、开发和推广较系统，但核心偏产品战略与营销，执行协作链不足。","https://activity.feishu.cn/future-talent?detail=sanyuanshipin"
"54","duxiaoman","度小满","如何用AI帮助小微企业提升经营？","AI + 综合领域","北部赛区（北京）","B","允许整合多种经营职能，但题目过宽，缺少具体企业流程、数据和验收标准。","https://activity.feishu.cn/future-talent?detail=duxiaoman"
